<file>:<line>, Note: <note>
/java-1st-tw-enigma-lucidmotors/src/enigma/ServiceRepository.java:17, Note: CC: non java style braces, non consisten usage
/java-1st-tw-enigma-lucidmotors/src/enigma/TerminalTranslator.java:42, Note: CC: duplicated code
/java-1st-tw-enigma-lucidmotors/src/enigma/RailFenceEnigma.java:82, Note: OOP: shoudn't be static
/java-1st-tw-enigma-lucidmotors/src/enigma/RailFenceEnigma.java:59, Note: CC: naming?
/java-1st-tw-enigma-lucidmotors/src/enigma/App.java:66, Note: OOP: terminal translator should be a Module
/java-1st-tw-enigma-lucidmotors/src/enigma/App.java:71, Note: CC: condition is not clear
/java-1st-tw-enigma-lucidmotors/src/enigma/App.java:65, Note: CC: condition is not clear
/java-1st-tw-enigma-lucidmotors/src/enigma/App.java:46, Note: OOP: should be in a separate class
/java-1st-tw-enigma-lucidmotors/src/enigma/App.java:40, Note: OOP: should be in separate class
/java-1st-tw-enigma-lucidmotors/src/enigma/App.java:16, Note: OOP: should be in separate class
